Deustches Wort;Mot français
der Verbraucher;l'usager
etwas angeben;mentionner
angeben;frimer
damals;à l'époque
das Abstellen;la coupure (de courant)
der Strom;le courant / l'électricité
etwas erledigen;exécuter quelque chose (un travail)
jemanden von etwas überzeugen;convaincre quelqu'un de quelque chose
drucken;imprimer
annehmen;admettre / accepter
herstellen;créer
bald;bientôt
jemanden bestrafen;punir quelqu'un
jemanden beleidigen;insulter quelqu'un
nachhaltig;durablement
begrenzen;limiter
passend;approprié
unterwegs;en route
leise;doucement
langsam;lent
passen;convenir
das passt mir;ça me va
die Unterschrift;la signature
die Stufe;la marche
das Bügelbrett;la planche à repasser
jemandem Bescheid geben;informer quelqu'un
der Koffer;la valise
der Müll;les ordures
festzuhalten;sachant que
witzig / lustig;drôle
das Schiff;le bâteau
etwas kippen;basculer quelque chose
eine Fahrkarte entwerten;composter un billet
die Aussicht;la vue (paysage)
auf jeden Fall;de toute façon
etwas schrubben;frotter quelque chose
das Ausmalen;le coloriage
das Feld;le champ
der Lauch;le poireau
jemanden bedrohen;intimider quelqu'un
erforderlich;indispensable
anbieten;proposer
sogar;même
bis;jusque
vermieten;louer (du point de vue du propriétaire)
mieten;louer (du point de vue du locataire)
eingetragen;enregistré
auf jemanden aufpassen;surveiller quelqu'un
die Verbindung;la connexion
